timestamp,skill_name,provider,eval_source,iterations,optimizer_model,eval_model,train_n,val_n,holdout_n,baseline_holdout,evolved_holdout,improvement,improvement_pct,baseline_size,evolved_size,elapsed_seconds,constraints_passed
20260425_003837,ceo-orchestration,openrouter,synthetic,2,anthropic/claude-sonnet-4.6,google/gemini-2.5-flash,10,5,5,0.603932,0.603932,0.0,0.0,4957,4957,141.4,True
20260425_014427,ceo-orchestration,minimax,sessiondb,3,minimax/minimax-m2.7,minimax/minimax-m2.7,25,12,13,0.51251,0.609272,0.096762,18.88,4957,4957,95.3,True
20260425_022020,ceo-orchestration,minimax,sessiondb,10,openrouter/anthropic/claude-sonnet-4,openrouter/google/gemini-2.5-flash,25,12,13,0.534278,0.628404,0.094126,17.62,4957,4957,608.6,True
20260427_161748,hermes-agent,openrouter,synthetic,10,openai/gpt-5.5-pro,minimax/minimax-m2.5,10,5,6,0.586644,0.586644,0.0,0.0,29979,29979,239.2,True
20260427_171912,hermes-agent,openrouter,synthetic,10,minimax/minimax-m2.7,minimax/minimax-m2.7,10,5,5,0.555846,0.555846,0.0,0.0,29979,29979,1425.6,True
20260427_172056,systematic-debugging,openrouter,synthetic,10,minimax/minimax-m2.7,minimax/minimax-m2.7,10,5,5,0.673582,0.677347,0.003766,0.56,10020,5062,1306.3,True
20260427_220339,companion-memory,openrouter,synthetic,10,minimax/minimax-m2.7,minimax/minimax-m2.7,10,5,5,0.626322,0.601349,-0.024973,-3.99,4219,4260,1700.8,True
20260428_005550,companion-interview-workflow,openrouter,golden,10,minimax/minimax-m2.7,minimax/minimax-m2.7,10,5,6,0.497764,0.515416,0.017652,3.55,5605,5982,1012.0,True
20260428_012059,companion-memory-tiers,openrouter,golden,10,minimax/minimax-m2.7,minimax/minimax-m2.7,9,4,6,0.606358,0.606358,0.0,0.0,7593,7593,1437.6,True
20260428_012951,mnemosyne-maintenance,minimax,golden,10,minimax/minimax-m2.7,minimax/minimax-m2.7,1,1,1,0.515385,0.515385,0.0,0.0,24479,24479,158.9,True
20260428_013007,companion-safety,minimax,golden,10,minimax/minimax-m2.7,minimax/minimax-m2.7,10,5,5,0.565054,0.539157,-0.025897,-4.58,2883,4840,0.3,True
20260428_013008,companion-personas,minimax,golden,10,minimax/minimax-m2.7,minimax/minimax-m2.7,1,1,1,0.608,0.608,0.0,0.0,15517,15517,185.6,True
20260428_013247,companion-roundtable,minimax,golden,10,minimax/minimax-m2.7,minimax/minimax-m2.7,1,0,0,0.0,0.0,0.0,0.0,21079,3585,344.4,True
20260428_013608,companion-interview-pipeline,minimax,golden,5,minimax/minimax-m2.7,minimax/minimax-m2.7,14,7,7,0.580824,0.552667,-0.028157,-4.85,4243,4949,289.6,True
20260428_014049,mnemosyne-self-evolution-tools,minimax,golden,10,minimax/minimax-m2.7,minimax/minimax-m2.7,3,1,3,0.397988,0.469704,0.071716,18.02,8211,4410,684.1,True
20260428_014430,companion-workflows,minimax,golden,10,minimax/minimax-m2.7,minimax/minimax-m2.7,2,1,1,0.3,0.425,0.125,41.67,8376,6395,1028.2,True
